Date,oil,al,gas,copper,gazprom,rusal,rub
2018-12-04,62.400001525878906,2332.5,4.4659998416900635,2.77524995803833,4.1978272634505185,29.045000076293945,66.35599899291992
2018-12-05,62.400001525878906,2332.5,4.4659998416900635,2.77524995803833,4.1978272634505185,29.045000076293945,66.35599899291992
2018-12-06,60.17499923706055,2332.5,4.379999876022339,2.73199999332428,4.124559279340411,28.6225004196167,66.79700088500977
2018-12-07,61.404998779296875,2332.5,4.400500059127808,2.7537500858306885,4.219376793758338,28.244999885559082,66.49850082397461
2018-12-08,61.404998779296875,2332.5,4.400500059127808,2.7537500858306885,4.219376793758338,28.244999885559082,66.49850082397461
2018-12-09,61.404998779296875,2332.5,4.400500059127808,2.7537500858306885,4.219376793758338,28.244999885559082,66.49850082397461
2018-12-10,60.935001373291016,2332.5,4.5279998779296875,2.73075008392334,4.154728593168688,28.274999618530273,66.33050155639648
2018-12-11,60.35499954223633,2332.5,4.4674999713897705,2.74875009059906,4.1116294355115794,28.005000114440918,66.41974639892578
2018-12-12,60.704999923706055,2332.5,4.24399995803833,2.7610000371932983,4.034051623815735,27.410000801086426,66.2859992980957
2018-12-13,60.68000030517578,2332.5,4.178500175476074,2.774749994277954,4.038361746261753,27.110000610351562,66.24150085449219
2018-12-14,60.834999084472656,2332.5,3.9404999017715454,2.744499921798706,3.9952629847163843,26.545000076293945,66.45899963378906
2018-12-15,60.834999084472656,2332.5,3.9404999017715454,2.744499921798706,3.9952629847163843,26.545000076293945,66.45899963378906
2018-12-16,60.834999084472656,2332.5,3.9404999017715454,2.744499921798706,3.9952629847163843,26.545000076293945,66.45899963378906
2018-12-17,59.90999984741211,2332.5,3.6290000677108765,2.7357499599456787,3.9478541827609686,26.50749969482422,66.59449768066406
2018-12-18,57.44499969482422,2332.5,3.7079999446868896,2.700000047683716,3.90044532094873,26.59000015258789,66.82999801635742
2018-12-19,57.064998626708984,2332.5,3.7279999256134033,2.700500011444092,3.8788959484913694,26.47249984741211,67.26350021362305
2018-12-20,55.510000228881836,2332.5,3.7549999952316284,2.688499927520752,3.8271776665002974,33.99499988555908,67.7239990234375
2018-12-21,54.05500030517578,2332.5,3.712000012397766,2.6817500591278076,3.784078309788468,29.647500038146973,68.29050064086914
2018-12-22,54.05500030517578,2332.5,3.712000012397766,2.6817500591278076,3.784078309788468,29.647500038146973,68.29050064086914
2018-12-23,54.05500030517578,2332.5,3.712000012397766,2.6817500591278076,3.784078309788468,29.647500038146973,68.29050064086914
2018-12-24,54.05500030517578,2332.5,3.712000012397766,2.6817500591278076,3.784078309788468,29.647500038146973,68.29050064086914
2018-12-25,54.05500030517578,2332.5,3.712000012397766,2.6817500591278076,3.784078309788468,29.647500038146973,68.29050064086914
2018-12-26,54.05500030517578,2332.5,3.712000012397766,2.6817500591278076,3.784078309788468,29.647500038146973,68.29050064086914
2018-12-27,53.454999923706055,2332.5,3.553499937057495,2.676750063896179,3.7366698776348954,29.292500495910645,69.00650024414062
